# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,4.0,0.8,0.0,0,1.0,0,0.0,0.0,0.0
 0.15461001261237836,4.011952128,0.8,0.0,0.15461001261237833,0.9999999999999998,0,0.0,0.0,0.0
 0.21821559980899707,4.023809024,0.8,0.0,0.21821559980899705,1.0,0,0.0,0.0,0.0
 0.2667262866685605,4.035571456,0.8,0.0,0.2667262866685605,1.0000000000000007,0,0.0,0.0,0.0
 0.3073766158965233,4.047240191999999,0.8,0.0,0.3073766158965233,1.0,0,0.0,0.0,0.0
 0.3429752177636143,4.058815999999999,0.8,0.0,0.3429752177636143,1.0,0,0.0,0.0,0.0
 0.3749657264337653,4.070299648000001,0.8,0.0,0.3749657264337653,1.0,0,0.0,0.0,0.0
 0.40420762981418223,4.0816919039999995,0.8,0.0,0.40420762981418223,1.0,0,0.0,0.0,0.0
 0.43126218475539874,4.092993536,0.8,0.0,0.43126218475539874,1.0,0,0.0,0.0,0.0
 0.45652012441950357,4.1042053119999995,0.8,0.0,0.45652012441950357,1.0,0,0.0,0.0,0.0
 0.48026659263371607,4.115328,0.8,0.0,0.48026659263371607,1.0,0,0.0,0.0,0.0
 0.5027173519981177,4.126362368,0.8,0.0,0.5027173519981176,0.999999999999995,0,0.0,0.0,0.0
 0.5240404259215111,4.137309183999999,0.8,0.0,0.524040425921511,1.0,0,0.0,0.0,0.0
 0.5443697566911657,4.148169215999999,0.8,0.0,0.5443697566911656,1.0,0,0.0,0.0,0.0
 0.5638142105339303,4.1589432319999995,0.8,0.0,0.5638142105339302,1.0,0,0.0,0.0,0.0
 0.5824637327765553,4.169631999999999,0.8,0.0,0.5824637327765552,1.0,0,0.0,0.0,0.0
 0.6003936841773068,4.180236288,0.8,0.0,0.6003936841773067,1.0,0,0.0,0.0,0.0
 0.6176679755337801,4.190756863999999,0.8,0.0,0.6176679755337798,0.9999999999999936,0,0.0,0.0,0.0
 0.6343413844295521,4.201194496,0.8,0.0,0.6343413844295519,1.0,0,0.0,0.0,0.0
 0.6504613009241974,4.2115499519999995,0.8,0.0,0.6504613009241972,1.0,0,0.0,0.0,0.0
 0.6660690654879566,4.221824,0.8,0.0,0.6660690654879565,1.000000000000007,0,0.0,0.0,0.0
 0.6812010099816354,4.232017408,0.8,0.0,0.6812010099816352,1.0,0,0.0,0.0,0.0
 0.6958892785493962,4.2421309439999995,0.8,0.0,0.6958892785493961,1.0,0,0.0,0.0,0.0
 0.7101624828164312,4.252165375999999,0.8,0.0,0.7101624828164311,1.0,0,0.0,0.0,0.0
 0.7240462305681864,4.262121472,0.8,0.0,0.7240462305681864,1.000000000000008,0,0.0,0.0,0.0
 0.7375635565834302,4.271999999999999,0.8,0.0,0.7375635565834303,1.0000000000000082,0,0.0,0.0,0.0
 0.7507352769119081,4.281801728,0.8,0.0,0.7507352769119082,1.0,0,0.0,0.0,0.0
 0.7635802826160455,4.291527424,0.8,0.0,0.7635802826160456,1.0,0,0.0,0.0,0.0
 0.7761157851764128,4.301177856,0.8,0.0,0.7761157851764129,1.0,0,0.0,0.0,0.0
 0.7883575229551627,4.310753792,0.8,0.0,0.7883575229551628,1.0,0,0.0,0.0,0.0
 0.8003199360255868,4.320256,0.8,0.0,0.8003199360255869,1.0,0,0.0,0.0,0.0
 0.81201631510703,4.329685248,0.8,0.0,0.8120163151070301,1.0,0,0.0,0.0,0.0
 0.8234589291519031,4.3390423039999995,0.8,0.0,0.8234589291519033,1.0000000000000098,0,0.0,0.0,0.0
 0.8346591352162854,4.348327935999999,0.8,0.0,0.8346591352162857,1.0,0,0.0,0.0,0.0
 0.8456274735366627,4.3575429119999995,0.8,0.0,0.8456274735366629,1.0,0,0.0,0.0,0.0
 0.856373750181543,4.366688,0.8,0.0,0.8563737501815433,1.0,0,0.0,0.0,0.0
 0.8669071092106689,4.375763967999999,0.8,0.0,0.8669071092106692,1.0,0,0.0,0.0,0.0
 0.8772360959285695,4.384771583999999,0.8,0.0,0.8772360959285698,1.0,0,0.0,0.0,0.0
 0.8873687125428743,4.393711615999999,0.8,0.0,0.8873687125428745,1.0,0,0.0,0.0,0.0
 0.8973124673155941,4.402584832,0.8,0.0,0.8973124673155943,1.0,0,0.0,0.0,0.0
 0.9070744181157346,4.411391999999999,0.8,0.0,0.9070744181157349,1.0,0,0.0,0.0,0.0
 0.9166612111352804,4.420133888,0.8,0.0,0.9166612111352807,1.0,0,0.0,0.0,0.0
 0.9260791154107723,4.428811263999999,0.8,0.0,0.9260791154107725,1.0,0,0.0,0.0,0.0
 0.9353340536941863,4.437424896,0.8,0.0,0.9353340536941865,1.0,0,0.0,0.0,0.0
 0.9444316301352885,4.445975551999999,0.8,0.0,0.9444316301352887,1.0,0,0.0,0.0,0.0
 0.9533771551699776,4.454464,0.8,0.0,0.9533771551699778,1.0,0,0.0,0.0,0.0
 0.9621756679525821,4.462891007999999,0.8,0.0,0.9621756679525824,1.0,0,0.0,0.0,0.0
 0.9708319566227708,4.471257343999999,0.8,0.0,0.970831956622771,1.0,0,0.0,0.0,0.0
 0.9793505766578168,4.479563775999999,0.8,0.0,0.979350576657817,1.0,0,0.0,0.0,0.0
 0.9877358675273461,4.4878110719999995,0.8,0.0,0.9877358675273463,1.0,0,0.0,0.0,0.0
